When,PropDmg,PropDmg (adj. 2020),PropDmgPerCapita (adj. 2020),Magnitude
2011-06,65000.0,75743.99,0.37366,52.0
2011-08,0.0,0.0,0.0,70.0
2011-11,32000.0,37289.35,0.18396,61.0
2012-02,15000.0,17124.99,0.08394,
2012-05,12000.0,13699.99,0.06716,52.0
2012-06,15000.0,17124.99,0.08394,61.0
2012-08,513000.0,585674.6,2.87082,61.0
2013-04,60000.0,67511.08,0.3281,61.0
2013-05,30000.0,33755.54,0.16406,52.0
2013-06,33000.0,37131.1,0.18046,52.0
2013-07,,,,52.0
2013-11,192000.0,216035.45,1.04994,71.0
2014-05,130000.0,143939.04,0.69492,52.0
2014-06,2500.0,2768.06,0.01336,52.0
2014-07,51000.0,56468.39,0.27262,52.0
2015-04,50000.0,55295.54,0.26474,52.0
2015-05,50000.0,55295.54,0.26474,52.0
2015-06,209000.0,231135.34,1.10664,61.0
2015-07,15000.0,16588.66,0.07942,52.0
2015-12,65000.0,71884.2,0.34418,61.0
2016-02,2000.0,2145.24,0.01025,
2016-04,24000.0,25742.88,0.12301,
2016-05,3000.0,3217.86,0.01538,61.0
2016-06,99000.0,106189.39,0.50744,61.0
2016-07,191000.0,204870.45,0.979,61.0
2017-03,,,,52.0
2017-06,10000.0,10508.62,0.05018,61.0
2017-07,425000.0,446616.34,2.13284,61.0
2018-05,233000.0,243218.52,1.15828,61.0
2018-06,310000.0,323595.49,1.54106,70.0
2018-08,,,,52.0
2019-05,,,,61.0
2019-06,180000.0,182059.5,0.86824,61.0
2019-07,15000.0,15171.62,0.07236,66.0
2019-08,30000.0,30343.26,0.1447,52.0
2019-09,10000.0,10114.42,0.04824,52.0
2020-04,30000.0,30000.0,0.1434,61.0
2020-05,,,,52.0
2020-06,1000.0,1000.0,0.00478,52.0
2020-07,175000.0,175000.0,0.83656,52.0
2020-08,42000.0,42000.0,0.20078,54.0
2020-09,,,,52.0
2021-06,,,,52.0
2021-08,,,,52.0
2021-09,,,,52.0
2021-12,,,,61.0
2022-03,,,,52.0
